eprint_id,publication_doi,publication_date,publication_date_year,related_link,related_link_description,related_link_type,related_url_homepage,related_url_homepage_test,related_doi_prefix,related_doi_owner,related_link_scraped,related_link_scraped_title
114457,10.1038/s41570-022-00382-w,May-22,2022,https://www.ccdc.cam.ac.uk/,Cambridge Structural Database,URL,https://www.ccdc.cam.ac.uk,TRUE,NA,NA,https://www.ccdc.cam.ac.uk/,CCDC Home | CCDC
114457,10.1038/s41570-022-00382-w,May-22,2022,http://open-reaction-database.org/,Open Reaction Database,URL,http://open-reaction-database.org,TRUE,NA,NA,http://open-reaction-database.org/,Open Reaction Database - Browser
114457,10.1038/s41570-022-00382-w,May-22,2022,https://www.rcsb.org/,Protein Data Bank,URL,https://www.rcsb.org,TRUE,NA,NA,https://www.rcsb.org/,RCSB PDB: Homepage
114399,10.1038/s41467-022-29663-0,2022-04-20,2022,https://data.nas.nasa.gov/,NASA ECCO Data Portal,URL,https://data.nas.nasa.gov,TRUE,NA,NA,https://data.nas.nasa.gov/,"
Data Portal
"
114329,10.1093/gji/ggab435,Mar-22,2022,http://unavco.org/,Data,URL,http://unavco.org,TRUE,NA,NA,http://unavco.org/,UNAVCO
114328,10.1093/gji/ggab436,Mar-22,2022,http://unavco.org/,Data,URL,http://unavco.org,TRUE,NA,NA,http://unavco.org/,UNAVCO
114296,10.1029/2021sw002993,May-22,2022,https://cdaweb.gsfc.nasa.gov/,NASA Coordinated Data Analysis Web database,URL,https://cdaweb.gsfc.nasa.gov,TRUE,NA,NA,https://cdaweb.gsfc.nasa.gov/,SPDF - Coordinated Data Analysis Web (CDAWeb)
114296,10.1029/2021sw002993,May-22,2022,https://pds-ppi.igpp.ucla.edu/,NASA Planetary Data System,URL,https://pds-ppi.igpp.ucla.edu,TRUE,NA,NA,https://pds-ppi.igpp.ucla.edu/,PDS/PPI Home Page 
114296,10.1029/2021sw002993,May-22,2022,https://pds-geosciences.wustl.edu/,NASA Planetary Data System Geosciences Node,URL,https://pds-geosciences.wustl.edu,TRUE,NA,NA,https://pds-geosciences.wustl.edu/,"PDS Geosciences Node, Washington University, St. Louis, Missouri"
113708,10.1038/s41550-021-01594-8,Apr-22,2022,https://pds-ppi.igpp.ucla.edu/,Planetary Data System,URL,https://pds-ppi.igpp.ucla.edu,TRUE,NA,NA,https://pds-ppi.igpp.ucla.edu/,PDS/PPI Home Page 
113546,10.1126/sciadv.abk1167,2022-02-25,2022,http://www.ncedc.org/,Northern California Earthquake Data Center,URL,http://www.ncedc.org,TRUE,NA,NA,http://www.ncedc.org/,NCEDC: Northern California Earthquake Data Center
113519,10.1101/2022.02.17.480955,2022-02-18,2022,https://etdb.caltech.edu/,Caltech Electron Tomography Database,URL,https://etdb.caltech.edu,TRUE,NA,NA,https://etdb.caltech.edu/,Electron Tomography Database
113056,10.3847/1538-4357/ac348f,2022-01-20,2022,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
113021,10.1029/2021je006848,Feb-22,2022,https://pds-geosciences.wustl.edu/,Planetary Data System Geosciences Node,URL,https://pds-geosciences.wustl.edu,TRUE,NA,NA,https://pds-geosciences.wustl.edu/,"PDS Geosciences Node, Washington University, St. Louis, Missouri"
112718,10.1093/gji/ggab309,Jan-22,2022,https://scedc.caltech.edu,Southern California Earthquake Data Center,URL,https://scedc.caltech.edu,TRUE,NA,NA,https://scedc.caltech.edu,Southern California Earthquake Data Center at Caltech
112477,10.1093/mnras/stab2659,Dec-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
112438,10.1051/0004-6361/202140967,Dec-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
112345,10.1029/2021ea001959,2021-11-24,2021,https://pds‐imaging.jpl.nasa.gov/,NASA Planetary Data System Cartography and Imaging Node,URL,https://pds‐imaging.jpl.nasa.gov,TRUE,NA,NA,https://pds‐imaging.jpl.nasa.gov/,404
112331,10.1029/2021av000469,Dec-21,2021,https://tccondata.org/,TCCON Data Archive,URL,https://tccondata.org,TRUE,NA,NA,https://tccondata.org/,TCCON Data Archive
112331,10.1029/2021av000469,Dec-21,2021,https://cds.climate.copernicus.eu/,Climate Data Store,URL,https://cds.climate.copernicus.eu,TRUE,NA,NA,https://cds.climate.copernicus.eu/,Copernicus Climate Data Store | 
112331,10.1029/2021av000469,Dec-21,2021,https://gaw.kishou.go.jp/,World Data Centre for Greenhouse Gases,URL,https://gaw.kishou.go.jp,TRUE,NA,NA,https://gaw.kishou.go.jp/,WDCGG (World Data Centre for Greenhouse Gases)
112307,10.1093/nar/gkab1005,2022-01-07,2022,http://gmod.org/,"GMOD, The Generic Model Organism Database project",URL,http://gmod.org,TRUE,NA,NA,http://gmod.org/,GMOD
111882,10.3847/1538-4357/ac157f,2021-10-20,2021,http://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,http://spdf.gsfc.nasa.gov,TRUE,NA,NA,http://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
111774,10.1016/j.jsb.2022.107860,Jun-22,2022,https://etdb.caltech.edu/,Caltech Electron Tomography Database,URL,https://etdb.caltech.edu,TRUE,NA,NA,https://etdb.caltech.edu/,Electron Tomography Database
111236,10.1029/2021GL094515,2021-09-20,2021,http://scedc.caltech.edu,Southern California Earthquake Data Center,URL,http://scedc.caltech.edu,TRUE,NA,NA,http://scedc.caltech.edu,Southern California Earthquake Data Center at Caltech
111176,10.1103/physrevlett.127.151301,2021-10-08,2021,http://bicepkeck.org/,Data and Figures,URL,http://bicepkeck.org,TRUE,NA,NA,http://bicepkeck.org/,The BICEP and Keck Array CMB Experiments
110899,10.3847/psj/ac173c,Oct-21,2021,https://pds.jpl.nasa.gov/,NASA Planetary Data System,URL,https://pds.jpl.nasa.gov,TRUE,NA,NA,https://pds.jpl.nasa.gov/,Welcome to the Planetary Data System
110670,10.3390/min11080847,2021-08-09,2021,https://pds.nasa.gov,NASA Planetary Data System,URL,https://pds.nasa.gov,TRUE,NA,NA,https://pds.nasa.gov,Welcome to the Planetary Data System
110385,10.1029/2021EA001959,Dec-21,2021,https://pds-imaging.jpl.nasa.gov/,NASA Planetary Data System Cartography and Imaging Node,URL,https://pds-imaging.jpl.nasa.gov,TRUE,NA,NA,https://pds-imaging.jpl.nasa.gov/,Cartography and Imaging Sciences Discipline Node
109934,10.1051/0004-6361/202039933,Jul-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
109879,10.1051/0004-6361/202140342,Jun-21,2021,http://cdsarc.u-strasbg.fr/,Data,URL,http://cdsarc.u-strasbg.fr,TRUE,NA,NA,http://cdsarc.u-strasbg.fr/,VizieR archives
109816,10.1029/2021gl094235,2021-07-28,2021,http://pds.nasa.gov,NASA Planetary Data System,URL,http://pds.nasa.gov,TRUE,NA,NA,http://pds.nasa.gov,Welcome to the Planetary Data System
109773,10.1101/2021.07.04.451030,2021-07-04,2021,https://single-cell.wormbase.org/,Data/Code,URL,https://single-cell.wormbase.org,TRUE,NA,NA,https://single-cell.wormbase.org/,single-cell
109588,10.1088/1361-6382/ac011a,2021-07-22,2021,http://pem.ligo.org,Data,URL,http://pem.ligo.org,TRUE,NA,NA,http://pem.ligo.org,NA
109450,10.1051/0004-6361/202039352,Jun-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
109449,10.1051/0004-6361/202039816,Jun-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
109447,10.1051/0004-6361/202039299,Jun-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
109439,10.1051/0004-6361/202039754,Jun-21,2021,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
109438,10.1051/0004-6361/202039330,Jun-21,2021,https://spdf.gsfc.nasa.gov,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov,NASA's Space Physics Data Facility (SPDF)
109306,10.1093/gji/ggaa610,Apr-21,2021,http://scardec.projects.sismo.ipgp.fr/,Data,URL,http://scardec.projects.sismo.ipgp.fr,TRUE,NA,NA,http://scardec.projects.sismo.ipgp.fr/,SCARDEC Source Time Functions Database
109168,10.1128/aem.00200-21,Aug-21,2021,http://proteomecentral.proteomexchange.org/,Data,URL,http://proteomecentral.proteomexchange.org,TRUE,NA,NA,http://proteomecentral.proteomexchange.org/,NA
109167,10.3847/1538-4357/abec7e,2021-05-10,2021,https://spdf.gsfc.nasa.gov,Data,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov,NASA's Space Physics Data Facility (SPDF)
109006,10.1029/2018JB016517,Jan-19,2019,http://www.ssn.unam.mx/,Data,URL,http://www.ssn.unam.mx,TRUE,NA,NA,http://www.ssn.unam.mx/,"Servicio Sismológico Nacional | UNAM, México"
108916,10.1029/2020gl091836,2021-03-28,2021,http://www.archive.arm.gov,Data,URL,http://www.archive.arm.gov,TRUE,NA,NA,http://www.archive.arm.gov,404
108628,10.1093/database/baab015,2021-03-31,2021,https://wormicloud.textpressolab.com,Wormicloud Database,URL,https://wormicloud.textpressolab.com,TRUE,NA,NA,https://wormicloud.textpressolab.com,Wormicloud
108606,10.5194/acp-21-2229-2021,2021-02-15,2021,http://106.37.208.233:20035,"Data - real-time PM2.5, O3, NO2, SO2, and CO observations",URL,http://106.37.208.233:20035,TRUE,NA,NA,http://106.37.208.233:20035,404
108606,10.5194/acp-21-2229-2021,2021-02-15,2021,http://www.aqistudy.cn,Data - historic profile of observed ambient pollutants,URL,http://www.aqistudy.cn,TRUE,NA,NA,http://www.aqistudy.cn,PM2.5实时查询|PM2.5历史数据查询|PM2.5全国城市排名|PM2.5雾霾地图|中国空气质量在线监测分析平台|
108602,10.1029/2020je006578,2021-02-18,2021,https://pds.jpl.nasa.gov,NASA Planetary Data System,URL,https://pds.jpl.nasa.gov,TRUE,NA,NA,https://pds.jpl.nasa.gov,Welcome to the Planetary Data System
108481,10.5194/amt-14-665-2021,2021-01-28,2021,https://tccondata.org,TCCON Data Archive,URL,https://tccondata.org,TRUE,NA,NA,https://tccondata.org,TCCON Data Archive
108342,10.1101/2021.03.05.434127,2021-03-07,2021,https://www.mtbtndb.app,Data/Code,URL,https://www.mtbtndb.app,TRUE,NA,NA,https://www.mtbtndb.app,Dash
108281,10.1038/s41587-021-01094-0,Apr-22,2022,https://datasets.deepcell.org/,Data,URL,https://datasets.deepcell.org,TRUE,NA,NA,https://datasets.deepcell.org/,DeepCell Datasets
108264,NA,2021-01-24,2021,http://www.anthroponumbers.org,Human Impacts Database,URL,http://www.anthroponumbers.org,TRUE,NA,NA,http://www.anthroponumbers.org,Anthroponumbers.org
108161,NA,2021-04-05,2021,https://prism.oregonstate.edu,Data,URL,https://prism.oregonstate.edu,TRUE,NA,NA,https://prism.oregonstate.edu,PRISM Climate Group at Oregon State University
107951,10.1038/s41550-020-01290-z,Mar-21,2021,https://pds.nasa.gov,NASA Planetary Data System,URL,https://pds.nasa.gov,TRUE,NA,NA,https://pds.nasa.gov,Welcome to the Planetary Data System
107888,10.1029/2020JA028605,Mar-21,2021,https://pds.jpl.nasa.gov,NASA Planetary Data System,URL,https://pds.jpl.nasa.gov,TRUE,NA,NA,https://pds.jpl.nasa.gov,Welcome to the Planetary Data System
107659,10.5194/essd-12-3383-2020,2020-12-14,2020,https://tccondata.org/,TCCON Data Archive,URL,https://tccondata.org,TRUE,NA,NA,https://tccondata.org/,TCCON Data Archive
107384,10.1117/12.2574803,2020-12-13,2020,https://exoplanet-imaging-challenge.github.io,Exoplanet Imaging Data Challenge,URL,https://exoplanet-imaging-challenge.github.io,TRUE,NA,NA,https://exoplanet-imaging-challenge.github.io,Exoplanet Imaging Data Challenge
107204,10.1093/ptep/ptaa104,Aug-20,2020,https://pdg.lbl.gov,Particle Data Group,URL,https://pdg.lbl.gov,TRUE,NA,NA,https://pdg.lbl.gov,Particle Data Group
107102,10.3847/1538-4357/abb408,2020-12-10,2020,https://pds.nasa.gov/,NASA Planetary Data Archive,URL,https://pds.nasa.gov,TRUE,NA,NA,https://pds.nasa.gov/,Welcome to the Planetary Data System
106816,10.1029/2020gl090164,2020-12-16,2020,https://s5phub.copernicus.eu,Sentinel-5P Data Hub,URL,https://s5phub.copernicus.eu,TRUE,NA,NA,https://s5phub.copernicus.eu,Sentinel-5P Pre-Operations Data Hub
106806,10.1785/0220200211,Jan-21,2021,https://scedc.caltech.edu,Southern California Earthquake Data Center,URL,https://scedc.caltech.edu,TRUE,NA,NA,https://scedc.caltech.edu,Southern California Earthquake Data Center at Caltech
106645,10.3847/1538-4357/abb6fb,2020-11-10,2020,https://frbhosts.org/,Data,URL,https://frbhosts.org,TRUE,NA,NA,https://frbhosts.org/,404
106362,10.1093/mnras/staa2191,Sep-20,2020,https://wiserep.weizmann.ac.il,Data,URL,https://wiserep.weizmann.ac.il,TRUE,NA,NA,https://wiserep.weizmann.ac.il,Home | WISeREP
106316,10.1029/2020gl090615,2020-11-16,2020,https://www.earthsystemgrid.org,Climate Data Gateway,URL,https://www.earthsystemgrid.org,TRUE,NA,NA,https://www.earthsystemgrid.org,NCAR Climate Data Gateway
106313,10.1093/mnras/staa1702,2020-08-11,2020,http://cdsarc.u-strasbg.fr,Data,URL,http://cdsarc.u-strasbg.fr,TRUE,NA,NA,http://cdsarc.u-strasbg.fr,VizieR archives
106277,NA,2020-11-28,2020,http://beacon.berkeley.edu,Data,URL,http://beacon.berkeley.edu,TRUE,NA,NA,http://beacon.berkeley.edu,BEACO2N
105914,10.3847/1538-4357/abb2a4,2020-10-10,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
105026,10.1029/2020jg005677,Aug-20,2020,http://www.gloh2o.org,Data,URL,http://www.gloh2o.org,TRUE,NA,NA,http://www.gloh2o.org,Home - GloH2O
105026,10.1029/2020jg005677,Aug-20,2020,http://www.try-db.org,Data,URL,http://www.try-db.org,TRUE,NA,NA,http://www.try-db.org,NA
105018,10.1029/2020je006527,Dec-20,2020,http://pds.nasa.gov,NASA Planetary Data System,URL,http://pds.nasa.gov,TRUE,NA,NA,http://pds.nasa.gov,Welcome to the Planetary Data System
104601,10.1038/s41598-021-00609-8,2021-10-26,2021,https://www.gisaid.org/,Datasets,URL,https://www.gisaid.org,TRUE,NA,NA,https://www.gisaid.org/,GISAID - gisaid.org
104103,10.1093/mnras/staa3692,Mar-21,2021,http://fire.northwestern.edu,Data,URL,http://fire.northwestern.edu,TRUE,NA,NA,http://fire.northwestern.edu,FIRE: Feedback In Realistic Environments | Increasing the predictive power of galaxy formation simulations
102340,NA,2021-03-03,2021,https://prime-re.github.io,Data,URL,https://prime-re.github.io,TRUE,NA,NA,https://prime-re.github.io,prime-re.github.io | Open resource exchange platform for non-human primate neuroimaging
102224,NA,Mar-20,2020,https://co2.jpl.nasa.gov,Data,URL,https://co2.jpl.nasa.gov,TRUE,NA,NA,https://co2.jpl.nasa.gov,404
102224,NA,Mar-20,2020,https://quickstats.nass.usda.gov,Data,URL,https://quickstats.nass.usda.gov,TRUE,NA,NA,https://quickstats.nass.usda.gov,USDA/NASS QuickStats Ad-hoc Query Tool
101941,10.5194/amt-13-789-2020,2020-02-19,2020,https://tccondata.org/,TCCON Data Archive,URL,https://tccondata.org,TRUE,NA,NA,https://tccondata.org/,TCCON Data Archive
101810,10.1093/mnras/staa3690,Mar-21,2021,http://fire.northwestern.edu,Additional Data,URL,http://fire.northwestern.edu,TRUE,NA,NA,http://fire.northwestern.edu,FIRE: Feedback In Realistic Environments | Increasing the predictive power of galaxy formation simulations
101106,NA,2012-08-14,2012,http://voyager.gsfc.nasa.gov,Data,URL,http://voyager.gsfc.nasa.gov,TRUE,NA,NA,http://voyager.gsfc.nasa.gov,Voyager Cosmic Ray Subsystem
101075,10.3847/1538-4365/ab5712,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
101067,10.3847/1538-4365/ab643d,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
101066,10.3847/1538-4365/ab6220,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
101064,10.3847/1538-4365/ab5963,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
101063,10.3847/1538-4365/ab5948,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
101060,10.3847/1538-4365/ab5527,Feb-20,2020,https://spdf.gsfc.nasa.gov/,NASA Space Physics Data Facility,URL,https://spdf.gsfc.nasa.gov,TRUE,NA,NA,https://spdf.gsfc.nasa.gov/,NASA's Space Physics Data Facility (SPDF)
100825,10.1016/j.molcel.2019.12.013,2020-03-05,2020,https://massive.ucsd.edu,MassIVE Database,URL,https://massive.ucsd.edu,TRUE,NA,NA,https://massive.ucsd.edu,Welcome to MassIVE
100792,10.1038/s41467-021-25500-y,2021-08-27,2021,https://www.chicagofaces.org,Chicago Face Database,URL,https://www.chicagofaces.org,TRUE,NA,NA,https://www.chicagofaces.org,CFD | Chicago Face Database
100049,NA,Nov-20,2020,http://marimba.obs-vlfr.fr,Marimba Database,URL,http://marimba.obs-vlfr.fr,TRUE,NA,NA,http://marimba.obs-vlfr.fr,Home | MARIMBA
98799,10.7554/eLife.64988,2021-10-19,2021,http://decathlon.debivort.org,Data/Code,URL,http://decathlon.debivort.org,TRUE,NA,NA,http://decathlon.debivort.org,Decathlon Data Browser
94026,10.5194/amt-12-1513-2019,2019-03-11,2019,https://tccondata.org,Data,URL,https://tccondata.org,TRUE,NA,NA,https://tccondata.org,TCCON Data Archive
92819,10.1093/database/baz007,2019-02-01,2019,http://geneontology.org,Database,URL,http://geneontology.org,TRUE,NA,NA,http://geneontology.org,Gene Ontology Resource
92718,10.3847/1538-4365/ab5b9d,Jan-20,2020,http://ananke.hub.yt,Data,URL,http://ananke.hub.yt,TRUE,NA,NA,http://ananke.hub.yt,yt Hub
71210,10.1093/database/baw119,2016,2016,http://www.biocreative.org,Database URL,URL,http://www.biocreative.org,TRUE,NA,NA,http://www.biocreative.org,BioCreative - Latest 3 News Items
71199,10.1002/2016JE005017,Oct-16,2016,http://pds.nasa.gov/,Planetary Data System,URL,http://pds.nasa.gov,TRUE,NA,NA,http://pds.nasa.gov/,Welcome to the Planetary Data System
71098,10.1002/2015JC011423,May-16,2016,http://bodc.ac.uk/,British Oceanographic Data Centre,URL,http://bodc.ac.uk,TRUE,NA,NA,http://bodc.ac.uk/,British Oceanographic Data Centre (BODC) — oceanographic and marine data
64158,NA,2016-01-26,2016,http://motility.caltech.edu/,Motoility Database,URL,http://motility.caltech.edu,TRUE,NA,NA,http://motility.caltech.edu/,404
63687,10.1016/j.epsl.2015.10.046,2016-01-01,2016,http://www.data.scec.org/,Southern California Earthquake Data Center (SCEDC),URL,http://www.data.scec.org,TRUE,NA,NA,http://www.data.scec.org/,404
57644,10.1126/scitranslmed.3009986,2015-05-13,2015,http://www.genenetwork.org,GeneNetwork Database,URL,http://www.genenetwork.org,TRUE,NA,NA,http://www.genenetwork.org,GeneNetwork GeneNetwork 2
57558,10.1002/2014JD022121,2015-03-27,2015,http://cdp.ucar.edu/,Data,URL,http://cdp.ucar.edu,TRUE,NA,NA,http://cdp.ucar.edu/,404
57557,10.1002/2014JE004686,Mar-15,2015,https://pds.jpl.nasa.gov/,NASA Planetary Data System,URL,https://pds.jpl.nasa.gov,TRUE,NA,NA,https://pds.jpl.nasa.gov/,Welcome to the Planetary Data System
42658,10.1126/science.1247166,2014-01-24,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,404
42648,10.1126/science.1244797,2014-01-24,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,404
42647,10.1126/science.1245267,2014-01-24,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,404
42644,10.1126/science.1242777,2014-01-24,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data System’s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,404
116216,10.21468/scipostphys.12.1.043,2022-01-28,2022,https://www.phenomldata.org/,benchmark dataset,URL,https://www.phenomldata.org,TRUE,NA,NA,https://www.phenomldata.org/,404
116124,10.1175/jcli-d-21-0912.1,2022-08-01,2022,http://www.longrunmip.org/,"LongRunMIP project, including data",URL,http://www.longrunmip.org,TRUE,NA,NA,http://www.longrunmip.org/,LongRunMIP
116012,10.1093/mnras/stac1466,Jul-22,2022,http://hxmten.ihep.ac.cn/,HXMT data,URL,http://hxmten.ihep.ac.cn,TRUE,NA,NA,http://hxmten.ihep.ac.cn/,HOME-Insight-HXMT-EN
115648,10.1029/2021gl097574,2022-07-16,2022,https://argo.ucsd.edu/,Float data,URL,https://argo.ucsd.edu,TRUE,NA,NA,https://argo.ucsd.edu/,Argo
115648,10.1029/2021gl097574,2022-07-16,2022,https://www.ocean-ops.org/,Float data,URL,https://www.ocean-ops.org,TRUE,NA,NA,https://www.ocean-ops.org/,in situ Ocean Observing System Monitoring and Coordination Centre - OceanOPS
115641,10.1029/2022gl097861,2022-06-16,2022,https://apps.nationalmap.gov/,10-m digital elevation model data,URL,https://apps.nationalmap.gov,TRUE,NA,NA,https://apps.nationalmap.gov/,Apps
115641,10.1029/2022gl097861,2022-06-16,2022,https://lidarportal.dnr.wa.gov/,lidar data,URL,https://lidarportal.dnr.wa.gov,TRUE,NA,NA,https://lidarportal.dnr.wa.gov/,Washington Lidar Portal
115100,10.1038/s43017-022-00296-7,Jun-22,2022,https://aeronet.gsfc.nasa.gov/,AOD and SSA data,URL,https://aeronet.gsfc.nasa.gov,TRUE,NA,NA,https://aeronet.gsfc.nasa.gov/,Aerosol Robotic Network (AERONET) Homepage
114968,10.1029/2022gl097861,2022-06-16,2022,https://apps.nationalmap.gov/,10-m DEM data,URL,https://apps.nationalmap.gov,TRUE,NA,NA,https://apps.nationalmap.gov/,Apps
114968,10.1029/2022gl097861,2022-06-16,2022,https://lidarportal.dnr.wa.gov/,LIDAR data,URL,https://lidarportal.dnr.wa.gov,TRUE,NA,NA,https://lidarportal.dnr.wa.gov/,Washington Lidar Portal
114679,10.1002/essoar.10511114.1,2022-04-18,2022,https://www.pangaea.de/,PANGAEA database,URL,https://www.pangaea.de,TRUE,NA,NA,https://www.pangaea.de/,Data Publisher for Earth & Environmental Science
113975,10.1016/j.rse.2021.112858,2022-03-01,2022,https://rangelands.app/,Vegetation fractional cover data,URL,https://rangelands.app,TRUE,NA,NA,https://rangelands.app/,Rangeland Analysis Platform
113584,NA,2021-11-23,2021,http://fast.bao.ac.cn/,FAST data center,URL,http://fast.bao.ac.cn,TRUE,NA,NA,http://fast.bao.ac.cn/,Home - FAST
