eprint_id,publication_doi,publication_date_year,related_link,related_link_description,linkType,related_url_homepage,related_url_homepage_test,related_doi_prefix,related_doi_owner,related_link_scraped,browser_test,browser_test_notes
42647,10.1126/science.1245267,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data SystemÉ??s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,FALSE,
42644,10.1126/science.1242777,2014,http://ppi.pds.nasa.gov/,Archived data in NASA Planetary Data SystemÉ??s Planetary Plasma Interactions Node,URL,http://ppi.pds.nasa.gov,TRUE,NA,NA,http://ppi.pds.nasa.gov/,FALSE,
116216,10.21468/scipostphys.12.1.043,2022,https://www.phenomldata.org/,benchmark dataset,URL,https://www.phenomldata.org,TRUE,NA,NA,https://www.phenomldata.org/,FALSE,
108255,NA,2021,https://megacities.jpl.nasa.gov,CLARS-FTS data,URL,https://megacities.jpl.nasa.gov,TRUE,NA,NA,https://megacities.jpl.nasa.gov,FALSE,
106785,10.1029/2020gl090014,2020,https://www.bou.class.noaa.gov,GOES-R Series Global Lightning Mapper data,URL,https://www.bou.class.noaa.gov,TRUE,NA,NA,https://www.bou.class.noaa.gov,FALSE,
116249,10.1029/2022je007280,2022,https://pds-geosciences.wustl.edu/missions/msl/index.html,NASA Planetary Data System Geosciences Node,URL,https://pds-geosciences.wustl.edu,FALSE,NA,NA,https://pds-geosciences.wustl.edu/missions/msl/index.html,TRUE,
115853,10.1002/hbm.25988,2022,https://neurovault.org/collections/RLVWMYCQ/,Data,URL,https://neurovault.org,FALSE,NA,NA,https://neurovault.org/collections/RLVWMYCQ/,TRUE,
114079,10.1029/2021jc017760,2022,http://www.ecmwf.int/en/forecasts/datasets/archive-datasets/reanalysis-datasets/era5,Data,URL,http://www.ecmwf.int,FALSE,NA,NA,http://www.ecmwf.int/en/forecasts/datasets/archive-datasets/reanalysis-datasets/era5,LOGIN,Need to log in to continue
113509,10.1785/0120210259,2022,https://scedc.caltech.edu/data/eewtesting.htm,Southern California Earthquake Data Center,URL,https://scedc.caltech.edu,FALSE,NA,NA,https://scedc.caltech.edu/data/eewtesting.htm,TRUE,
112846,10.2475/10.2021.02,2021,http://earth.eps.yale.edu/~ajs/SupplementaryData/2021/Maurice/,Supplementary Data,URL,http://earth.eps.yale.edu,FALSE,NA,NA,http://earth.eps.yale.edu/~ajs/SupplementaryData/2021/Maurice/,TRUE,unsafe URL message
112345,10.1029/2021ea001959,2021,https://pdsÉ?êgeosciences.wustl.edu/missions/insight/index.htm,NASA Planetary Data System Geosciences Node,URL,https://pdsÉ?êgeosciences.wustl.edu,FALSE,NA,NA,https://pds-geosciences.wustl.edu/missions/insight/index.htm,TRUE,error in URL but now resolves
112195,10.1073/pnas.2109241118,2021,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081622&DatabaseToSearch=Published,Data,URL,https://www.ccdc.cam.ac.uk,FALSE,NA,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2081622&DatabaseToSearch=Published,TRUE,
112195,10.1073/pnas.2109241118,2021,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2084054&DatabaseToSearch=Published,Data,URL,https://www.ccdc.cam.ac.uk,FALSE,NA,NA,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2084054&DatabaseToSearch=Published,TRUE,
111712,10.1101/458992,2018,https://github.com/AllenInstitute/chromosome-network-modeling,Data/Code,URL,https://github.com,FALSE,NA,NA,https://github.com/AllenInstitute/chromosome-network-modeling,FALSE,GitHub custom 404
111323,10.1021/acs.orglett.1c02836,2021,https://www.ccdc.cam.ac.uk/services/structure_request?pid=ccdc:2097629&issn=1523-7060&id=doi:10.1021/acs.orglett.1c02836&sid=ACS,Supplementary Crystallographic Data,URL,https://www.ccdc.cam.ac.uk,FALSE,10.1021,American Chemical Society (ACS),https://www.ccdc.cam.ac.uk/services/structure_request?pid=ccdc:2097629&issn=1523-7060&id=doi:10.1021/acs.orglett.1c02836&sid=ACS,TRUE,
110037,10.3389/feart.2021.579198,2021,http://hielo.igme.es/index.php/en/,Datasets,URL,http://hielo.igme.es,FALSE,NA,NA,http://hielo.igme.es/index.php/en/,FALSE,
109676,10.1093/mnras/stab911,2021,https://gitlab.com/ssc-boxfit/SSC_boxfit,Data/Code,URL,https://gitlab.com,FALSE,NA,NA,https://gitlab.com/ssc-boxfit/SSC_boxfit,LOGIN,Need to log in to continue
108161,NA,2021,https://github.com/jinlong83/statistical-constrained-GANS,Data,URL,https://github.com,FALSE,NA,NA,https://github.com/jinlong83/statistical-constrained-GANS,FALSE,GitHub custom 404
108161,NA,2021,https://github.com/Rui1521/Equivariant-Neural-Nets,Data,URL,https://github.com,FALSE,NA,NA,https://github.com/Rui1521/Equivariant-Neural-Nets,FALSE,GitHub custom 404
108004,10.1093/mnras/staa3429,2021,https://github.com/UBC-Astrophysics/QEDSurface/tree/master/Caiazzo_Heyl_Model,Data,URL,https://github.com,FALSE,NA,NA,https://github.com/UBC-Astrophysics/QEDSurface/tree/master/Caiazzo_Heyl_Model,FALSE,GitHub custom 404
106844,10.1093/mnrasl/slaa150,2020,https://www.iram-institute.org/EN/content-page-386-7-386-0-0-0.html,Data,URL,https://www.iram-institute.org,FALSE,NA,NA,https://www.iram-institute.org/EN/content-page-386-7-386-0-0-0.html,FALSE,
106174,10.1101/2020.10.19.345538,2020,https://coralsnp.science.psu.edu/galaxy,Data,URL,https://coralsnp.science.psu.edu,FALSE,NA,NA,https://coralsnp.science.psu.edu/galaxy,FALSE,
105783,10.1016/j.devcel.2021.01.019,2021,https://gitlab.com/slcu/teamhj/publications/refahi_etal_2019,Data,URL,https://gitlab.com,FALSE,NA,NA,https://gitlab.com/slcu/teamhj/publications/refahi_etal_2019,LOGIN,Need to log in to continue
105345,10.1016/j.icarus.2020.114098,2021,https://dmp.seti.org/mshowalter/lightcurves,Data,URL,https://dmp.seti.org,FALSE,NA,NA,https://dmp.seti.org/mshowalter/lightcurves,FALSE,
105301,10.1038/s41586-022-04742-w,2022,http://odr.stowers.org/websimr/,Stowers Original Data Repository,URL,http://odr.stowers.org,FALSE,NA,NA,http://odr.stowers.org/websimr/,FALSE,
105005,10.1038/s41467-020-17998-5,2020,https://github.com/mbulla/kilonova_model,Data,URL,https://github.com,FALSE,NA,NA,https://github.com/mbulla/kilonova_model,FALSE,GitHub custom 404
104585,10.1101/2020.07.25.210468,2020,http://capblood-seq.caltech.edu/#,Data/Code,URL,http://capblood-seq.caltech.edu,FALSE,NA,NA,http://capblood-seq.caltech.edu/#,FALSE,
104099,10.1093/mnras/staa2808,2020,http://ramekin.caltech.edu/KBSS,Data,URL,http://ramekin.caltech.edu,FALSE,NA,NA,http://ramekin.caltech.edu/KBSS,FALSE,
102968,NA,2020,https://caltech.box.com/s/b1rxyfr28ti75gl1q2qqs0lq87qvcz0q,Data/Code,URL,https://caltech.box.com,FALSE,NA,NA,https://caltech.box.com/s/b1rxyfr28ti75gl1q2qqs0lq87qvcz0q,FALSE,"Box message ""file removed"""
102690,10.1074/jbc.m412787200,2005,https://www.jbc.org/content/280/18/18442/suppl/DC1,Supplemental Data,URL,https://www.jbc.org,FALSE,NA,NA,https://www.jbc.org/content/280/18/18442/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
102689,10.1074/jbc.m507322200,2005,https://www.jbc.org/content/280/40/34063/suppl/DC1,Supplemental Data,URL,https://www.jbc.org,FALSE,NA,NA,https://www.jbc.org/content/280/40/34063/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
102494,10.1074/jbc.m113.499921,2014,https://www.jbc.org/content/289/7/4395/suppl/DC1,Supplemental Data,URL,https://www.jbc.org,FALSE,NA,NA,https://www.jbc.org/content/289/7/4395/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
102224,NA,2020,https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Lite_SIF.8r,Data,URL,https://oco2.gesdisc.eosdis.nasa.gov,FALSE,NA,NA,https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Lite_SIF.8r,FALSE,
100256,10.1029/2019jd031159,2019,https://figshare.com/articles/A_MultiÉ?êYear_Data_Set_on_AerosolÉ?êCloudÉ?êPrecipitationÉ?êMeteorology_Interactions_for_Marine_Stratocumulus_Clouds/5099983,Data,URL,https://figshare.com,FALSE,NA,NA,https://figshare.com/articles/dataset/A_Multi-Year_Data_Set_on_Aerosol-Cloud-Precipitation-Meteorology_Interactions_for_Marine_Stratocumulus_Clouds/5099983,TRUE,error in URL but now resolves
99888,10.1104/pp.19.00980,2020,http://www.plantphysiol.org/content/182/1/147/tab-figures-data,Supplemental Data,URL,http://www.plantphysiol.org,FALSE,NA,NA,http://www.plantphysiol.org/content/182/1/147/tab-figures-data,FALSE,
97174,10.1186/s13059-021-02286-2,2021,https://www.starmapresources.com/data,Data,URL,https://www.starmapresources.com,FALSE,NA,NA,https://www.starmapresources.com/data,FALSE,
97174,10.1186/s13059-021-02286-2,2021,http://welikesharingdata.blob.core.windows.net/forshare/index.html,Data,URL,http://welikesharingdata.blob.core.windows.net,FALSE,NA,NA,http://welikesharingdata.blob.core.windows.net/forshare/index.html,FALSE,
96939,NA,2020,https://neurovault.org/collections/DXZZFYSF/,Data,URL,https://neurovault.org,FALSE,NA,NA,https://neurovault.org/collections/DXZZFYSF/,TRUE,
95223,NA,2019,https://gdex.cr.usgs.gov/gdex/,USGS Global Data Explorer,URL,https://gdex.cr.usgs.gov,FALSE,NA,NA,https://gdex.cr.usgs.gov/gdex/,FALSE,
95060,10.1029/2018jd029287,2018,https://figshare.com/articles/A_MultiÉ?êYear_Data_Set_on_AerosolÉ?êCloudÉ?êPrecipitationÉ?êMeteorology_Interactions_for_Marine_Stratocumulus_Clouds/5099983,Data,URL,https://figshare.com,FALSE,NA,NA,https://figshare.com/articles/dataset/A_Multi-Year_Data_Set_on_Aerosol-Cloud-Precipitation-Meteorology_Interactions_for_Marine_Stratocumulus_Clouds/5099983,TRUE,error in URL but now resolves
92505,NA,2019,https://neurovault.org/collections/XARLTMZQ,Data,URL,https://neurovault.org,FALSE,NA,NA,https://neurovault.org/collections/XARLTMZQ,TRUE,
92505,NA,2019,https://neurovault.org/collections/DDWMWXCU,Data,URL,https://neurovault.org,FALSE,NA,NA,https://neurovault.org/collections/DDWMWXCU,TRUE,
91845,10.1029/2018JB016674,2019,https://.doi.org/10.7909/C3WD3xH1,SCEDC (2013): Southern California Earthquake Center.  Caltech.Dataset.,URL,https://.doi.org,FALSE,10.7909,caltech.library,https://doi.org/10.7909/C3WD3xH1,TRUE,error in URL but now resolves
84884,10.2337/db17-0788,2018,http://diabetes.diabetesjournals.org/content/suppl/2018/02/05/db17-0788.DC1,Supplementary Data,URL,http://diabetes.diabetesjournals.org,FALSE,NA,NA,http://diabetes.diabetesjournals.org/content/suppl/2018/02/05/db17-0788.DC1,FALSE,
81666,10.1126/sciadv.1602557,2017,http://advances.sciencemag.org/content/suppl/2017/03/20/3.3.e1602557.DC1,Supplemental Data,URL,http://advances.sciencemag.org,FALSE,NA,NA,http://advances.sciencemag.org/content/suppl/2017/03/20/3.3.e1602557.DC1,TRUE,"Resolves to article, data is supplemental"
79128,10.1096/fj.201700288R,2017,http://www.fasebj.org/content/31/10/4515/suppl/DC1,Supplemental Data,URL,http://www.fasebj.org,FALSE,NA,NA,http://www.fasebj.org/content/31/10/4515/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
74775,10.1104/pp.16.01762,2017,http://www.plantphysiol.org/content/173/3/1543/suppl/DC1,Supplemental Data,URL,http://www.plantphysiol.org,FALSE,NA,NA,http://www.plantphysiol.org/content/173/3/1543/suppl/DC1,FALSE,
74058,10.1096/fj.201600815R,2016,https://www.fasebj.org/content/31/2/569/suppl/DC1,Supplemental Data,URL,https://www.fasebj.org,FALSE,NA,NA,https://www.fasebj.org/content/31/2/569/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
73620,10.1104/pp.16.01762,2017,http://www.plantphysiol.org/content/early/2017/01/19/pp.16.01762/suppl/DC1,Supplemental Data,URL,http://www.plantphysiol.org,FALSE,NA,NA,http://www.plantphysiol.org/content/early/2017/01/19/pp.16.01762/suppl/DC1,FALSE,
72721,10.1074/jbc.M116.753822,2017,http://www.jbc.org/cgi/content/full/M116.753822/DC1,Supplemental Data,URL,http://www.jbc.org,FALSE,NA,NA,http://www.jbc.org/cgi/content/full/M116.753822/DC1,FALSE,
72596,NA,2007,http://www.plantcell.org/content/19/11/3516/suppl/DC1,Supplemental Data,URL,http://www.plantcell.org,FALSE,NA,NA,http://www.plantcell.org/content/19/11/3516/suppl/DC1,FALSE,
72554,NA,2007,http://www.plantphysiol.org/content/145/3/747/suppl/DC1,Supplemental Data,URL,http://www.plantphysiol.org,FALSE,NA,NA,http://www.plantphysiol.org/content/145/3/747/suppl/DC1,FALSE,
72511,NA,2004,http://www.plantcell.org/content/16/10/2586/suppl/DC1,Supplemental Data,URL,http://www.plantcell.org,FALSE,NA,NA,http://www.plantcell.org/content/16/10/2586/suppl/DC1,FALSE,
72509,NA,2004,http://www.plantcell.org/content/16/5/1314/suppl/DC1,Supplemental Data,URL,http://www.plantcell.org,FALSE,NA,NA,http://www.plantcell.org/content/16/5/1314/suppl/DC1,FALSE,TRUE+O65
72179,10.1126/science.aah6765,2017,http://sbn.psi.edu/pds/archive/dawn.html,NASA Planetary Data System,URL,http://sbn.psi.edu,FALSE,NA,NA,http://sbn.psi.edu/pds/archive/dawn.html,FALSE,
70618,10.1128/mBio.00796-16,2016,http://mbio.asm.org/content/suppl/2016/09/21/mBio.00796-16.DCSupplemental,Supplementary Data,URL,http://mbio.asm.org,FALSE,NA,NA,http://mbio.asm.org/content/suppl/2016/09/21/mBio.00796-16.DCSupplemental,TRUE,"Resolves to article, data is supplemental"
69816,10.1093/nar/gkw715,2016,http://nar.oxfordjournals.org/content/suppl/2016/08/16/gkw715.DC1,Supplementary Data,URL,http://nar.oxfordjournals.org,FALSE,NA,NA,http://nar.oxfordjournals.org/content/suppl/2016/08/16/gkw715.DC1,FALSE,
69795,10.1096/fj.10-171728,2011,http://www.fasebj.org/content/25/3/875/suppl/DC1,Supplemental Data,URL,http://www.fasebj.org,FALSE,NA,NA,http://www.fasebj.org/content/25/3/875/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
69094,10.1074/mcp.M116.061036,2016,http://www.mcponline.org/content/15/9/2970/suppl/DC1,Supplemental Data,URL,http://www.mcponline.org,FALSE,NA,NA,http://www.mcponline.org/content/15/9/2970/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
67865,10.1038/nsmb.3244,2016,http://www.pdb.org/pdb/search/structidSearch.do?structureId=4XMM,Protein Data Bank,URL,http://www.pdb.org,FALSE,NA,NA,http://www.pdb.org/pdb/search/structidSearch.do?structureId=4XMM,FALSE,
67366,10.2337/db15-1607,2016,http://diabetes.diabetesjournals.org/content/suppl/2016/05/19/db15-1607.DC1,Supplementary Data,URL,http://diabetes.diabetesjournals.org,FALSE,NA,NA,http://diabetes.diabetesjournals.org/content/suppl/2016/05/19/db15-1607.DC1,FALSE,
66233,10.1126/science.aae0047,2016,http://www.lncRNA.caltech.edu/data.php,Addtional Data,URL,http://www.lncRNA.caltech.edu,FALSE,NA,NA,http://www.lncRNA.caltech.edu/data.php,FALSE,
62464,10.1177/1745691615600138,2015,http://pps.sagepub.com/content/10/6/772/suppl/DC1,Data Supplement,URL,http://pps.sagepub.com,FALSE,NA,NA,http://pps.sagepub.com/content/10/6/772/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
62208,10.1016/j.neuron.2006.10.019,2006,http://www.neuron.org/cgi/content/full/52/5/857/DC1/,Supplemental Data,URL,http://www.neuron.org,FALSE,NA,NA,http://www.neuron.org/cgi/content/full/52/5/857/DC1/,TRUE,"Resolves to article, data is supplemental"
61769,10.1128/mBio.01520-15,2015,http://mbio.asm.org/lookup/suppl/doi:10.1128/mBio.01520-15/-/DCSupplemental,Supplementary Data,URL,http://mbio.asm.org,FALSE,10.1128,American Society for Microbiology,http://mbio.asm.org/lookup/suppl/doi:10.1128/mBio.01520-15/-/DCSupplemental,FALSE,
58364,10.1128/mBio.02549-14,2015,http://mbio.asm.org/content/suppl/2015/02/24/mBio.02549-14.DCSupplemental,Supplementary Data,URL,http://mbio.asm.org,FALSE,NA,NA,http://mbio.asm.org/content/suppl/2015/02/24/mBio.02549-14.DCSupplemental,TRUE,"Resolves to article, data is supplemental"
57891,10.1038/nature14874,2015,http://www.pdb.org/pdb/search/structidSearch.do?structureId=4QTR,Protein Data Bank,URL,http://www.pdb.org,FALSE,NA,NA,http://www.pdb.org/pdb/search/structidSearch.do?structureId=4QTR,FALSE,
57782,10.1088/1748-9326/10/4/044020,2015,http://iopscience.iop.org/1748-9326/10/4/044020/media,Supplementary Data,URL,http://iopscience.iop.org,FALSE,NA,NA,http://iopscience.iop.org/1748-9326/10/4/044020/media,TRUE,Supplemental material
56563,10.1088/0264-9381/32/6/065001,2015,http://iopscience.iop.org/0264-9381/32/6/065001/media,Supplementary Data,URL,http://iopscience.iop.org,FALSE,NA,NA,http://iopscience.iop.org/0264-9381/32/6/065001/media,TRUE,Supplemental material
56112,10.1038/nature02733,2004,http://www.nature.com/nature/journal/v430/n6997/extref/nature02733-s7.htm,"Supplementary Data This includes an HTML Contents Table linking to the microarray time course, processed data and raw data files",URL,http://www.nature.com,FALSE,NA,NA,http://www.nature.com/nature/journal/v430/n6997/extref/nature02733-s7.htm,FALSE,
55090,10.1074/jbc.M114.603365,2015,http://www.jbc.org/content/290/14/9135/suppl/DC1,Supplemental Data,URL,http://www.jbc.org,FALSE,NA,NA,http://www.jbc.org/content/290/14/9135/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
54077,10.1073/pnas.1212083110,2013,http://ncs.ethz.ch/projects/vlsi-wta-networks/synthesizing-cognition-in-neuromorphic-vlsi-systems-experimental-data/view,Experimental Data,URL,http://ncs.ethz.ch,FALSE,NA,NA,http://ncs.ethz.ch/projects/vlsi-wta-networks/synthesizing-cognition-in-neuromorphic-vlsi-systems-experimental-data/view,FALSE,
54074,10.1096/fj.14-260844,2015,http://www.fasebj.org/content/29/5/1635/suppl/DC1,Supplemental Data,URL,http://www.fasebj.org,FALSE,NA,NA,http://www.fasebj.org/content/29/5/1635/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
53768,10.1016/j.poly.2014.05.022,2014,http://www.ccdc.cam.ac.uk/conts/retrieving.html,Cambridge Structural Database,URL,http://www.ccdc.cam.ac.uk,FALSE,NA,NA,http://www.ccdc.cam.ac.uk/conts/retrieving.html,FALSE,
53338,10.1074/jbc.M114.614420,2015,http://www.jbc.org/content/290/8/4908/suppl/DC1,Supplemental Data,URL,http://www.jbc.org,FALSE,NA,NA,http://www.jbc.org/content/290/8/4908/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
52005,10.1098/rsta.2014.0134,2014,http://rsta.royalsocietypublishing.org/content/372/2031/20140134/suppl/DC1,Data Supplement,URL,http://rsta.royalsocietypublishing.org,FALSE,NA,NA,http://rsta.royalsocietypublishing.org/content/372/2031/20140134/suppl/DC1,TRUE,Supplemental material
51905,10.1126/science.1059776,2001,http://www.sciencemag.org/content/292/5520/1379/suppl/DC1,Supplementary Data,URL,http://www.sciencemag.org,FALSE,NA,NA,http://www.sciencemag.org/content/292/5520/1379/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
51854,10.1126/science.1067081,2002,http://www.sciencemag.org/content/295/5556/868/suppl/DC1,Supplemental Data,URL,http://www.sciencemag.org,FALSE,NA,NA,http://www.sciencemag.org/content/295/5556/868/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
51806,10.1126/science.1071142,2002,http://www.sciencemag.org/content/296/5570/1091/suppl/DC1,Supplemental Data,URL,http://www.sciencemag.org,FALSE,NA,NA,http://www.sciencemag.org/content/296/5570/1091/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
50494,10.1158/1078-0432.CCR-14-0489,2014,http://clincancerres.aacrjournals.org/content/early/2014/10/02/1078-0432.CCR-14-0489/suppl/DC1,Supplementary Data,URL,http://clincancerres.aacrjournals.org,FALSE,NA,NA,http://clincancerres.aacrjournals.org/content/early/2014/10/02/1078-0432.CCR-14-0489/suppl/DC1,FALSE,
50244,10.1177/1087057114551334,2015,http://jbx.sagepub.com/content/20/2/275/suppl/DC1,Supplemental Data,URL,http://jbx.sagepub.com,FALSE,NA,NA,http://jbx.sagepub.com/content/20/2/275/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
50207,10.1098/rstb.2013.0473,2014,http://rstb.royalsocietypublishing.org/content/369/1655/20130473/suppl/DC1,Data Supplement,URL,http://rstb.royalsocietypublishing.org,FALSE,NA,NA,http://rstb.royalsocietypublishing.org/content/369/1655/20130473/suppl/DC1,TRUE,Supplemental material
49280,10.4049/jimmunol.1301663,2014,http://www.jimmunol.org/content/suppl/2014/08/28/jimmunol.1301663.DCSupplemental,Data Supplement,URL,http://www.jimmunol.org,FALSE,NA,NA,http://www.jimmunol.org/content/suppl/2014/08/28/jimmunol.1301663.DCSupplemental,FALSE,
48854,10.1098/rsif.2014.0617,2014,http://rsif.royalsocietypublishing.org/content/11/98/20140617/suppl/DC1,Data Supplement,URL,http://rsif.royalsocietypublishing.org,FALSE,NA,NA,http://rsif.royalsocietypublishing.org/content/11/98/20140617/suppl/DC1,TRUE,Supplemental material
46565,10.1088/1748-3182/9/2/025001,2014,http://iopscience.iop.org/1748-3190/9/2/025001/media,Supplementary Data,URL,http://iopscience.iop.org,FALSE,NA,NA,http://iopscience.iop.org/1748-3190/9/2/025001/media,TRUE,Supplemental material
46549,10.1088/1748-3182/9/2/025002,2014,http://iopscience.iop.org/1748-3190/9/2/025002/media,Supplementary Data,URL,http://iopscience.iop.org,FALSE,NA,NA,http://iopscience.iop.org/1748-3190/9/2/025002/media,TRUE,Supplemental material
46426,10.4049/jimmunol.1400093,2014,http://www.jimmunol.org/lookup/suppl/doi:10.4049/jimmunol.1400093/-/DCSupplemental,Data Supplement,URL,http://www.jimmunol.org,FALSE,10.4049,The American Association of Immunologists,http://www.jimmunol.org/lookup/suppl/doi:10.4049/jimmunol.1400093/-/DCSupplemental,FALSE,
46336,10.1126/science.1057265,2001,http://www.sciencemag.org/content/291/5506/1026/suppl/DC1,Supplemental Data,URL,http://www.sciencemag.org,FALSE,NA,NA,http://www.sciencemag.org/content/291/5506/1026/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
46175,10.1073/pnas.1323922111,2014,http://www.pnas.org/lookup/suppl/doi:10.1073/pnas.1323922111/-/DCSupplemental,Data Supplement,URL,http://www.pnas.org,FALSE,10.1073,Proceedings of the National Academy of Sciences,http://www.pnas.org/lookup/suppl/doi:10.1073/pnas.1323922111/-/DCSupplemental,TRUE,"Resolves to article, data is supplemental"
46074,10.1073/pnas.1403500111,2014,http://www.pnas.org/content/111/17/6231/suppl/DCSupplemental,Data Supplement,URL,http://www.pnas.org,FALSE,NA,NA,http://www.pnas.org/content/111/17/6231/suppl/DCSupplemental,TRUE,"Resolves to article, data is supplemental"
46073,10.1073/pnas.1400380111,2014,http://www.pnas.org/content/111/22/7952/suppl/DCSupplemental,Data Supplement,URL,http://www.pnas.org,FALSE,NA,NA,http://www.pnas.org/content/111/22/7952/suppl/DCSupplemental,TRUE,"Resolves to article, data is supplemental"
45021,10.1074/mcp.M113.031765,2014,http://www.mcponline.org/content/13/3/780/suppl/DC1,Supplemental Data,URL,http://www.mcponline.org,FALSE,NA,NA,http://www.mcponline.org/content/13/3/780/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
34526,10.1074/jbc.M112.391961,2012,http://www.jbc.org/content/287/35/29861/suppl/DC1,Supplemental Data,URL,http://www.jbc.org,FALSE,NA,NA,http://www.jbc.org/content/287/35/29861/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
17376,10.1194/M900250-JLR200,2010,http://www.jlr.org/cgi/content/full/M900250-JLR200/DC1,Supplemental Data,URL,http://www.jlr.org,FALSE,NA,NA,http://www.jlr.org/cgi/content/full/M900250-JLR200/DC1,FALSE,
12246,10.1016/j.cell.2008.07.016,2008,http://www.cell.com/cgi/content/full/134/6/956/DC1/,Supplemental Data,URL,http://www.cell.com,FALSE,NA,NA,http://www.cell.com/cgi/content/full/134/6/956/DC1/,TRUE,"Resolves to article, data is supplemental"
9668,NA,2008,http://www.jbc.org/content/283/14/8829/suppl/DC1,Supplemental Data,URL,http://www.jbc.org,FALSE,NA,NA,http://www.jbc.org/content/283/14/8829/suppl/DC1,TRUE,"Resolves to article, data is supplemental"
113975,10.1016/j.rse.2021.112858,2022,https://lpdaac.usgs.gov/products/mcd43a4v006/,MODIS surface reflectance data,URL,https://lpdaac.usgs.gov,FALSE,NA,NA,https://lpdaac.usgs.gov/products/mcd43a4v006/,TRUE,
113495,10.1029/2021ms002747,2022,https://avdc.gsfc.nasa.gov/pub/data/satellite/MetOp/GOME_F,GOME-2 SIF data,URL,https://avdc.gsfc.nasa.gov,FALSE,NA,NA,https://avdc.gsfc.nasa.gov/pub/data/satellite/MetOp/GOME_F,FALSE,
113463,10.1002/essoar.10510526.3,2022,http://p21.jamstec.go.jp/top,Ocean bottom pressure data,URL,http://p21.jamstec.go.jp,FALSE,NA,NA,http://p21.jamstec.go.jp/top,FALSE,
