eprint_id,record_doi,related_url,description,type,date,related_url_short,related_url_doi,year,doi_name
116302,10.1038/s41467-022-32079-5,10.2210/pdb7R8F/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116302,10.1038/s41467-022-32079-5,10.2210/pdb7R8G/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116302,10.1038/s41467-022-32079-5,10.2210/pdb7R8H/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116302,10.1038/s41467-022-32079-5,10.2210/pdb7R8J/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116302,10.1038/s41467-022-32079-5,10.2210/pdb7R8K/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116281,10.1126/sciadv.abj9134,10.5281/zenodo.6842018,Data set contains the code and input files for WAIS-1080 model,doi,2022-08-12,NA,10.5281,2022,cern.zenodo
116272,10.1101/2022.08.09.502705,https://github.com/lesterha/lesterlab_caltech,Data,related,2022-08-12,https://github.com,NA,2022,NA
116260,10.5194/acp-22-9617-2022,10.5281/zenodo.4447228,Data,doi,2022-07-29,NA,10.5281,2022,cern.zenodo
116260,10.5194/acp-22-9617-2022,10.5270/S2_-d8we2fl,Data,doi,2022-07-29,NA,10.5270,2022,European Space Agency
116260,10.5194/acp-22-9617-2022,10.1038/s41586-019-1720-3,Data,doi,2022-07-29,NA,10.1038,2022,Springer Science and Business Media LLC
116260,10.5194/acp-22-9617-2022,10.1021/acs.estlett.1c00173,Data,doi,2022-07-29,NA,10.1021,2022,American Chemical Society (ACS)
116260,10.5194/acp-22-9617-2022,10.5281/zenodo.5606120,Data,doi,2022-07-29,NA,10.5281,2022,cern.zenodo
116249,10.1029/2022je007280,https://pds-geosciences.wustl.edu/missions/mro/default.htm,"NASA Planetary Data System Geosciences Node",related,2022-08,https://pds-geosciences.wustl.edu,NA,2022,NA
116249,10.1029/2022je007280,https://pds-imaging.jpl.nasa.gov/volumes/msl.html,"NASA Planetary Data System Cartography and Imaging Sciences Node",related,2022-08,https://pds-imaging.jpl.nasa.gov,NA,2022,NA
116249,10.1029/2022je007280,https://pds-geosciences.wustl.edu/missions/msl/index.html,"NASA Planetary Data System Geosciences Node",related,2022-08,https://pds-geosciences.wustl.edu,NA,2022,NA
116249,10.1029/2022je007280,https://pds-geosciences.wustl.edu/missions/mer/index.htm,"NASA Planetary Data System Geosciences Node",related,2022-08,https://pds-geosciences.wustl.edu,NA,2022,NA
116221,10.1126/sciadv.abn9545,10.22002/D1.20048,Datasets,doi,2022-07-20,NA,10.22002,2022,caltech.data
116211,10.1371/journal.pone.0258455,10.1371/journal.pone.0258455.s002,S2 File. Data and corresponding script(s) for each dental locus used for statistical analyses,doi,2021-11-03,NA,10.1371,2021,Public Library of Science (PLoS)
116189,10.1002/essoar.10512118.2,10.22002/D1.20248,Data,doi,2022-08-09,NA,10.22002,2022,caltech.data
116161,10.1029/2021jd036003,10.22002/D1.20050,Data,doi,2022-08-08,NA,10.22002,2022,caltech.data
116159,10.1038/s41467-022-32213-3,10.2210/pdb7C7Q/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116159,10.1038/s41467-022-32213-3,10.2210/pdb7EB2/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116159,10.1038/s41467-022-32213-3,10.2210/pdb6UO9/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116159,10.1038/s41467-022-32213-3,10.2210/pdb1GOT/pdb,Data,doi,2022-08-08,NA,10.2210,2022,Worldwide Protein Data Bank
116122,10.1093/gji/ggac189,https://ncedc.org/,Northern California Earthquake Data Center,related,2022-10,https://ncedc.org,NA,2022,NA
116122,10.1093/gji/ggac189,https://scedc.caltech.edu/,Southern California Earthquake Data Center,related,2022-10,https://scedc.caltech.edu,NA,2022,NA
116036,10.1093/cercor/bhac237,https://www.humanconnectome.org/study/hcp-young-adult/data-releases,Data,related,2022-06-27,https://www.humanconnectome.org,NA,2022,NA
116035,10.1029/2022je007185,https://pds-geosciences.wustl.edu/missions/mro/default.htm,"NASA Planetary Data System Geosciences Node",related,2022-06-27,https://pds-geosciences.wustl.edu,NA,2022,NA
116022,10.1093/mnras/stac418,https://astro.dur.ac.uk/~hbpn39/pilot-wings.html,Data,related,2022-07,https://astro.dur.ac.uk,NA,2022,NA
115997,10.1002/jsp2.1217,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fjsp2.1217&file=jsp21217-sup-0001-supinfo.doc,Data,pub,2022-07-15,https://onlinelibrary.wiley.com,10.1002,2022,Wiley
115990,10.3133/pp416,https://ngmdb.usgs.gov/Prodesc/proddesc_4408.htm,National Geologic Map Database Index Page,related,1964,https://ngmdb.usgs.gov,NA,1964,NA
115983,10.1093/qje/qjac025,10.7910/DVN/9LCYKG,Data and code,doi,2022-08,NA,10.7910,2022,gdcc.harvard-dv
115946,10.1111/gbi.12512,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA841681/,Data,related,2022-09,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115910,10.1088/2515-7655/ac817e,10.22002/D1.20061,Data,doi,2022-10,NA,10.22002,2022,caltech.data
115869,10.1073/pnas.2119333119,10.26009/s0A0QNM6,Data and MATLAB codes,doi,2022-08-02,NA,10.26009,2022,iu.sd
115863,10.1016/j.scitotenv.2022.157581,https://ars.els-cdn.com/content/image/1-s2.0-S0048969722046794-mmc1.docx,Supplementary Data,pub,2022-11-15,https://ars.els-cdn.com,NA,2022,NA
115853,10.1002/hbm.25988,https://neurovault.org/collections/RLVWMYCQ/,Data,related,2022-07-21,https://neurovault.org,NA,2022,NA
115833,10.1088/2632-2153/ac7c56,10.5281/zenodo.6047873,Data,doi,2022-09,NA,10.5281,2022,cern.zenodo
115810,10.1101/2022.07.21.500524,https://singlecell.broadinstitute.org/single_cell/study/SCP922/single-nucleus-resolution-mapping-of-the-adult-c-elegans-and-its-application-to-elucidate-inter-and-trans-generational-response-to-alcohol,Data - Broad Single Cell Portal:,related,2022-07-23,https://singlecell.broadinstitute.org,NA,2022,NA
115773,10.3847/1538-4357/ac75ce,https://spdf.gsfc.nasa.gov/,"NASA Space Physics Data Facility",related,2022-07-10,https://spdf.gsfc.nasa.gov,NA,2022,NA
115754,10.1126/sciadv.abn9545,10.22002/D1.20048,Datasets,doi,2022-07-22,NA,10.22002,2022,caltech.data
115728,10.5194/amt-15-3401-2022,https://oco2.gesdisc.eosdis.nasa.gov/data/GOSAT_TANSO_Level2/ACOS_L2_Lite_FP.9r/,Data,related,2022-06-09,https://oco2.gesdisc.eosdis.nasa.gov,NA,2022,NA
115728,10.5194/amt-15-3401-2022,10.5067/VWSABTO7ZII4,Data,doi,2022-06-09,NA,10.5067,2022,esdis.eosdis
115728,10.5194/amt-15-3401-2022,https://cds.climate.copernicus.eu/,Copernicus Climate Data Store,related,2022-06-09,https://cds.climate.copernicus.eu,NA,2022,NA
115728,10.5194/amt-15-3401-2022,https://data2.gosat.nies.go.jp/,GOSAT Data Archive Service,related,2022-06-09,https://data2.gosat.nies.go.jp,NA,2022,NA
115726,10.1128/aem.02109-21,https://gold.jgi.doe.gov/study?id=Gs0133461,Joint Genome Institute (JGI) Genomes Online Database: Gs0133461,related,2022-06-14,https://gold.jgi.doe.gov,NA,2022,NA
115722,10.5194/acp-22-6811-2022,https://cmsflux.jpl.nasa.gov,Data,related,2022-05-25,https://cmsflux.jpl.nasa.gov,NA,2022,NA
115708,10.1016/j.cels.2022.06.005,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198732,Data,related,2022-08,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115694,10.1101/2022.07.13.22277113,10.22002/D1.20223,Dataset,doi,2022-07-15,NA,10.22002,2022,caltech.data
115693,10.1101/2022.07.13.22277513,10.22002/D1.20223,Dataset,doi,2022-07-15,NA,10.22002,2022,caltech.data
115689,10.1038/s41594-022-00798-4,10.2210/pdb7SPZ/pdb,Data,doi,2022-08,NA,10.2210,2022,Worldwide Protein Data Bank
115689,10.1038/s41594-022-00798-4,10.2210/pdb7SPY/pdb,Data,doi,2022-08,NA,10.2210,2022,Worldwide Protein Data Bank
115689,10.1038/s41594-022-00798-4,10.2210/pdb7SQ0/pdb,Data,doi,2022-08,NA,10.2210,2022,Worldwide Protein Data Bank
115689,10.1038/s41594-022-00798-4,http://www.ebi.ac.uk/pdbe/entry/emdb/EMD-25374,Data,related,2022-08,http://www.ebi.ac.uk,NA,2022,NA
115689,10.1038/s41594-022-00798-4,http://www.ebi.ac.uk/pdbe/entry/emdb/EMD-25373,Data,related,2022-08,http://www.ebi.ac.uk,NA,2022,NA
115689,10.1038/s41594-022-00798-4,http://www.ebi.ac.uk/pdbe/entry/emdb/EMD-25375,Data,related,2022-08,http://www.ebi.ac.uk,NA,2022,NA
115660,10.1029/2021jb023676,10.7914/SN/II,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/IU,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.26186/144675,Australian National Seismograph Network Data Collection,doi,2022-07,NA,10.26186,2022,ardcx.ga
115660,10.1029/2021jb023676,10.7914/SN/AZ,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/C1,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/CM,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/CN,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/CU,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115660,10.1029/2021jb023676,10.7914/SN/IC,Data,doi,2022-07,NA,10.7914,2022,iris.iris
115658,10.1029/2021jf006422,10.26009/s0FD85I6,Data,doi,2022-07,NA,10.26009,2022,iu.sd
115641,10.1029/2022gl097861,10.7275/2d19-f718,"Data, models, and analysis scripts",doi,2022-06-16,NA,10.7275,2022,umass.uma
115536,10.1038/s41589-022-01048-w,10.2210/pdb7MJC/pdb,Data,doi,2022-07-04,NA,10.2210,2022,Worldwide Protein Data Bank
115536,10.1038/s41589-022-01048-w,10.2210/pdb7MJD/pdb,Data,doi,2022-07-04,NA,10.2210,2022,Worldwide Protein Data Bank
115536,10.1038/s41589-022-01048-w,10.2210/pdb7RAD/pdb,Data,doi,2022-07-04,NA,10.2210,2022,Worldwide Protein Data Bank
115536,10.1038/s41589-022-01048-w,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD031630,Data,related,2022-07-04,http://proteomecentral.proteomexchange.org,NA,2022,NA
115536,10.1038/s41589-022-01048-w,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165621,Data,related,2022-07-04,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115519,10.1029/2021je007068,https://pds-smallbodies.astro.umd.edu/data_sb/missions/nh-kem/index.shtml,New Horizons Planetary Data System Small Bodies Node,related,2022-06,https://pds-smallbodies.astro.umd.edu,NA,2022,NA
115510,10.1098/rspb.2022.0808,10.6071/M3RT05,Data,doi,2022-06-29,NA,10.6071,2022,cdl.ucm
115493,10.1101/2022.07.10.499405,10.22002/D1.20215,Data and code,doi,2022-07-12,NA,10.22002,2022,caltech.data
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_1004/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_1028/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_1030/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_1033/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_2004/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_2028/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_2030/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115461,10.1029/2021je007159,https://atmos.nmsu.edu/PDS/data/jnojir_2033/,Data,related,2022-08,https://atmos.nmsu.edu,NA,2022,NA
115452,10.1002/essoar.10511825.1,10.7265/efmz-2t65,NOAA/NSIDC Climate Data Record of Passive Microwave Sea Ice Concentration (Version 4),doi,2022-07-10,NA,10.7265,2022,nsidc.datactr
115451,10.1002/essoar.10511838.1,10.22002/D1.20038,Data,doi,2022-07-10,NA,10.22002,2022,caltech.data
115448,10.1038/s41467-022-31116-7,10.6084/m9.figshare.19355633,Data,doi,2022-06-30,NA,10.6084,2022,figshare.ars
115442,10.1002/cem.3409,10.5281/zenodo.6345367,Data,doi,2022-06,NA,10.5281,2022,cern.zenodo
115426,10.1038/s43588-022-00263-8,http://support.10xgenomics.com/single-cell/datasets,Datasets,related,2022-06,http://support.10xgenomics.com,NA,2022,NA
115413,NA,10.22002/D1.1177,Data,doi,2022-05-31,NA,10.22002,2022,caltech.data
115359,10.1101/2022.06.29.498132,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181346,Data - Gene Expression Omnibus,related,2022-06-30,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115359,10.1101/2022.06.29.498132,https://cardiogenesis-atac.cells.ucsc.edu/,Dataset,related,2022-06-30,https://cardiogenesis-atac.cells.ucsc.edu,NA,2022,NA
115357,10.1101/2022.06.27.497828,10.5281/zenodo.6377704,Data files,doi,2022-07-01,NA,10.5281,2022,cern.zenodo
115351,10.1101/2022.06.21.496981,https://zenodo.org/record/6820642#.Ys0aROzMKw1,Data,related,2022-06-22,https://zenodo.org,NA,2022,NA
115349,10.1101/2022.06.17.496478,10.22002/D1.20199,CaltechDATA Dataset,doi,2022-06-21,NA,10.22002,2022,caltech.data
115347,10.1101/2022.06.16.496161,https://drive.google.com/drive/folders/1-C78090Z43w5kGb1ZW8pXgysjha35jlU?usp=sharing,Data/Code,related,2022-06-19,https://drive.google.com,NA,2022,NA
115341,10.1016/j.xcrp.2022.100959,10.22002/D1.20057,Data,doi,2022-07-20,NA,10.22002,2022,caltech.data
115318,10.1126/science.abq0839,https://www.science.org/doi/suppl/10.1126/science.abq0839/suppl_file/science.abq0839_data_s1_to_s3.zip,Supplementary Materials: Data S1-S3,pub,2022-08-05,https://www.science.org,10.1126,2022,American Association for the Advancement of Science (AAAS)
115318,10.1126/science.abq0839,https://jbloomlab.github.io/SARS-CoV-2-RBD_Beta_mosaic_np_vaccine/,Data Visualization: Mutations that reduce binding of mosaic-8 RBD vaccine-elicited antibodies to the SARS-CoV-2 spike RBD,related,2022-08-05,https://jbloomlab.github.io,NA,2022,NA
115301,10.1021/acs.biochem.2c00100,10.2210/pdb7TL2/pdb,Data,doi,2022-06-07,NA,10.2210,2022,Worldwide Protein Data Bank
115301,10.1021/acs.biochem.2c00100,10.2210/pdb7TL3/pdb,Data,doi,2022-06-07,NA,10.2210,2022,Worldwide Protein Data Bank
115301,10.1021/acs.biochem.2c00100,10.2210/pdb7TL4/pdb,Data,doi,2022-06-07,NA,10.2210,2022,Worldwide Protein Data Bank
115240,10.1038/s41467-022-30941-0,10.5281/zenodo.6414313,Data/Code,doi,2022-06-17,NA,10.5281,2022,cern.zenodo
115195,10.1038/s41586-022-04755-5,https://github.com/peterniuzai/FRB190520B_discovery_paper_Code_availability.git,Data analysis code,related,2022-06-30,https://github.com,NA,2022,NA
115142,10.1038/s41467-022-31061-5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185572,Data,related,2022-06-13,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115139,10.1038/s41467-022-30865-9,10.2210/pdb7U0B/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb7U0C/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb2fb4/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6c6z/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb5bv7/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb4nzu/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb3eyf/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6iea/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6MED/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb5v7u/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6vbq/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6bkb/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6MEF/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6wo4/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6urh/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb4ptu/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6apc/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb5ig7/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6MEE/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6bli/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6q1j/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6pbv/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6uoe/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6q1g/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6q0e/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb4xak/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,10.2210/pdb6q19/pdb,Data,doi,2022-06-08,NA,10.2210,2022,Worldwide Protein Data Bank
115139,10.1038/s41467-022-30865-9,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA813433/,Data,related,2022-06-08,https://www.ncbi.nlm.nih.gov,NA,2022,NA
115138,10.1101/2022.06.11.495771,10.5281/zenodo.6612727,Data,doi,2022-06-12,NA,10.5281,2022,cern.zenodo
115134,10.1029/2021je007096,https://pds-geosciences.wustl.edu/missions/msl/,"NASA Planetary Data Systems",related,2022-06,https://pds-geosciences.wustl.edu,NA,2022,NA
115134,10.1029/2021je007096,10.7936/jznj-s510,Data,doi,2022-06,NA,10.7936,2022,wustl.lib
115134,10.1029/2021je007096,10.5281/zenodo.6324330,Data,doi,2022-06,NA,10.5281,2022,cern.zenodo
115134,10.1029/2021je007096,10.5281/zenodo.6514934,Data,doi,2022-06,NA,10.5281,2022,cern.zenodo
115123,10.1029/2021jf006392,10.22002/D1.8962,Data,doi,2022-05,NA,10.22002,2022,caltech.data
115109,10.1029/2022gb007388,https://www.bco-dmo.org/dataset/856409,Data,related,2022-05,https://www.bco-dmo.org,NA,2022,NA
115109,10.1029/2022gb007388,https://www.bco-dmo.org/dataset/860424,Data,related,2022-05,https://www.bco-dmo.org,NA,2022,NA
115109,10.1029/2022gb007388,https://www.bco-dmo.org/dataset/860409,Data,related,2022-05,https://www.bco-dmo.org,NA,2022,NA
115109,10.1029/2022gb007388,https://www.bco-dmo.org/dataset/836954,Data,related,2022-05,https://www.bco-dmo.org,NA,2022,NA
115107,10.1109/tgrs.2022.3168509,10.5281/zenodo.6360749,Data,doi,2022-04-18,NA,10.5281,2022,cern.zenodo
115095,10.1029/2022je007293,https://ode.rsl.wustl.edu/mars/,PDS Geosciences Node Mars Orbital Data Explorer,related,2022-07,https://ode.rsl.wustl.edu,NA,2022,NA
115095,10.1029/2022je007293,10.22002/D1.20101,Data,doi,2022-07,NA,10.22002,2022,caltech.data
115075,10.3390/universe8060314,http://irsa.ipac.caltech.edu/Missions/cosmos.html,Data,related,2022-06,http://irsa.ipac.caltech.edu,NA,2022,NA
115075,10.3390/universe8060314,https://cesam.lam.fr/a2c2s/data_release.php,Data,related,2022-06,https://cesam.lam.fr,NA,2022,NA
115074,10.3390/vision6020031,https://osf.io/63w8g/,Data,doi,2022-06,https://osf.io,NA,2022,NA
115069,10.1126/sciadv.abm4261,https://zenodo.org/record/6462344,Data,related,2022-06-03,https://zenodo.org,NA,2022,NA
115068,10.1038/s41467-022-30752-3,10.5281/zenodo.6112399,Data,doi,2022-06-07,NA,10.5281,2022,cern.zenodo
115068,10.1038/s41467-022-30752-3,10.5281/zenodo.6012498,Data,doi,2022-06-07,NA,10.5281,2022,cern.zenodo
115056,10.1016/j.scitotenv.2022.155861,https://dataverse.tdl.org/dataset.xhtml;jsessionid=049cd200e3ab71ec4b0bbc974211?persistentId=doi%3A10.18738%2FT8%2FNPTA0X&version=DRAFT,Data,related,2022-09-10,https://dataverse.tdl.org,10.18738,2022,tdl.tdl
115037,10.1002/essoar.10511511.2,https://github.com/dbonan,Data,related,2022-06-02,https://github.com,NA,2022,NA
